Generations,Unnamed: 0.1,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
33,33.0,0.0760482721661525,0.0938151606840501,0.067859548909877,0.0982374272553193,0.1176299732313994,0.1091431737805862,0.1122879827868728,0.1015892709792317,0.104026932644171,0.1193622575623392
34,34.0,0.0759163729521018,0.0958237850206979,0.069814542468953,0.0966901766329793,0.1157095234446285,0.1113475794995475,0.1101402243841147,0.0996787120562694,0.1050169628506449,0.1198621206900623
35,35.0,0.07697824999281,0.0992401331081301,0.0694781087623853,0.0963526256499077,0.1153137419895506,0.1148602272175736,0.1072542720385794,0.097041817841172,0.1049822750064153,0.1184985483934754
36,36.0,0.0788851899674309,0.0983792555507099,0.074439043315675,0.0950087934699446,0.1147583522825629,0.1110616589070319,0.1056773010981003,0.098449760162377,0.1038701006078263,0.1194705446383405
37,37.0,0.0806017991868182,0.0975878031952056,0.0727757585516408,0.0961709217330703,0.113202240689065,0.1089119348636155,0.1050710774927105,0.0996151485434991,0.1045554144777524,0.121507901266622
38,38.0,0.0876705021187947,0.0985410219046862,0.0708795845502677,0.0962137715234193,0.1120256250227216,0.1063579206789158,0.1039057723815763,0.0958159393742699,0.1065598270800033,0.1220300353653446
39,39.0,0.086885499329878,0.0990122660546009,0.0701715094727339,0.0994376096952775,0.1126196118887641,0.1039095638406035,0.0999181611919803,0.0988554519514926,0.1093214149461907,0.119868911628478
40,40.0,0.0890624604578861,0.0991318073997457,0.0686007741662424,0.0968141939578193,0.1137186739136321,0.1030850191855599,0.1014373085288581,0.0995859606266831,0.1085804306610815,0.1199833711024913
41,41.0,0.0908200359377459,0.0969056598731371,0.0679108366021456,0.097187578854292,0.1108520520870483,0.1068925238468505,0.1032631965434381,0.0974979674149953,0.1097650182966017,0.1189051305437449
42,42.0,0.093092687860458,0.1004050080792095,0.0651178183130399,0.0939575867504042,0.110892846010421,0.1073912504607653,0.1010621021297129,0.0985160294590393,0.1075727846256566,0.1219918863112925
43,43.0,0.0945883079487908,0.0981425794075002,0.068048487950802,0.0933094957098872,0.1126964943489362,0.108026961051661,0.0987584845997622,0.0984960024396637,0.1059390018767692,0.1219941846662269
44,44.0,0.0952917496995312,0.1002236008699642,0.0684187219075357,0.0976872890493105,0.1147144318301085,0.1054001181239745,0.0973774350434279,0.0962762627852772,0.1043708185640519,0.1202395721268177
45,45.0,0.0944208004742436,0.0988750839070515,0.0686515112596681,0.0995131290360165,0.1146035944431796,0.1063913491889978,0.0978096628786046,0.097736188966601,0.1036929851100501,0.1183056947355866
46,46.0,0.0946889417204249,0.099651219706263,0.0685360858378393,0.096572014428701,0.1168621092840068,0.1052848357515333,0.0962198041343028,0.0971259500486198,0.1061176257669864,0.118941413321322
47,47.0,0.0974814878232436,0.1016966157131447,0.0674918338433222,0.0949518359364014,0.1136031385601065,0.1056700718836942,0.0961165486050202,0.0954182967718559,0.1068564401249528,0.1207137307382579
48,48.0,0.0964386003441187,0.101933753707401,0.0694243223028194,0.0984545729449406,0.1153171991201045,0.1052661934940586,0.0932258341739066,0.094383131130643,0.1050308141371865,0.1205255786448205
49,49.0,0.0954770883944607,0.1035655802771792,0.0683081188886616,0.0999510770511397,0.1121857324669371,0.104146817055494,0.0964728906516977,0.0959175088790404,0.1054847990883886,0.1184903872470004
50,50.0,0.0946458496225293,0.104430231625962,0.0712069686453962,0.0979785957998991,0.1156305793827194,0.102536149040584,0.097144226323729,0.0942039069334597,0.1029390872166267,0.1192844054090938
51,51.0,0.0924920291545768,0.1075864489502393,0.0722139243931806,0.0963154947260683,0.1147709263863085,0.1052615591944433,0.0944304072823726,0.0963799702549942,0.1008926523023979,0.1196565873554177
52,52.0,0.0930016844199371,0.1067807553555154,0.0707852838646482,0.0960858858646423,0.1155151897728462,0.1046750605146301,0.093871613806306,0.0984535785411244,0.1029812058525859,0.1178497420077638
53,53.0,0.0924924655729334,0.1111556567504984,0.0709167416930192,0.0937469866054605,0.118977104066353,0.1052283079828299,0.0896761854934633,0.0981101735976631,0.0999367759387595,0.1197596022990192
54,54.0,0.0953521098807958,0.1081191977753818,0.0714713649775027,0.0918406034172926,0.1158292185994245,0.1053202603703488,0.0920428566427897,0.1011305177035837,0.0998398755736984,0.1190539950591814
55,55.0,0.0966009981511153,0.1027991356054038,0.074042355348718,0.0898096503669014,0.1177796657301932,0.1037842965167283,0.0912952065864764,0.0993638886202656,0.1010546861841037,0.1234701168900938
56,56.0,0.0962836945467154,0.1008345307545102,0.0729260117262452,0.0889445045424918,0.120239022846656,0.1024460836564726,0.0957718056447792,0.0959016105298565,0.1016785678461624,0.12497416790611
57,57.0,0.0962153090355265,0.099410527619526,0.0761844958266882,0.0854434331551779,0.123744701993176,0.0987620569588974,0.0939829454663594,0.0976348116558196,0.1018488745457492,0.1267728437430792
58,58.0,0.0937164754504766,0.0999716136380247,0.0796991981715897,0.085917039954378,0.1256404455503965,0.0987079119299684,0.0969183306795912,0.09614571057901,0.0976991870717777,0.1255840869747866
59,59.0,0.0941057022507029,0.0977770736912812,0.0787880944589414,0.0859224433235408,0.1261338372159881,0.0994261813147175,0.0979290914564467,0.0968563936471736,0.0962349268947859,0.1268262557464213
60,60.0,0.0960859274413072,0.0964419813583279,0.0763820324296567,0.0823439051784881,0.1237551794458384,0.0987192398145481,0.1010489702881773,0.0998015937937727,0.0984293758332885,0.1269917944165945
61,61.0,0.0965597490629732,0.0958895597995662,0.0771019645904877,0.0801204840541226,0.1224240529079928,0.1027004468098885,0.1029576477224479,0.1007087759089429,0.0973014666436635,0.1242358524999143
62,62.0,0.1064268085278596,0.0956070642210482,0.0760034236004349,0.0792478808452129,0.123493408424566,0.0998718765057824,0.1020945133658452,0.0998727159427391,0.1002216267258355,0.1171606818406756
63,63.0,0.1068609353811432,0.0973535980175697,0.0747634986368467,0.0809109044977012,0.1231938756631528,0.103157252033376,0.0979722903500395,0.1004997211985917,0.0999572271753393,0.1153306970462393
64,64.0,0.1028718509888422,0.1000714175338976,0.0739351750857257,0.0812269596434002,0.1200861756785771,0.1040801884452223,0.1055737940630501,0.0998616424439461,0.100158747117956,0.1121340489993822
65,65.0,0.1006568207689354,0.1017295718576248,0.0740311084032022,0.0817532710120931,0.1188490965951147,0.1041060474001051,0.1060341282430049,0.1018412229717974,0.0982174212203998,0.112781311527722
66,66.0,0.0995931263809031,0.1018007646343828,0.0730987306736573,0.0820136890008537,0.1195185080696182,0.1041588563733842,0.1010950252507254,0.1055826247568149,0.101041577776412,0.1120970970832479
